                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 4.8244,                 1.1565,                 1.1108,                0.63403,                0.27596,                0.33321,                 0.1635,                 4.8095,                 1.0892,                 1.1242,             0.00070981,             0.00070981,             0.00070981
                    118,                 4.8421,                 1.1484,                 1.0959,                0.63314,                0.28551,                0.34324,                0.17082,                 4.8536,                  1.065,                  1.091,             0.00070156,             0.00070156,             0.00070156
                    119,                 4.8289,                 1.1379,                 1.0964,                0.61721,                0.28617,                0.34243,                0.16853,                 4.8507,                 1.0709,                 1.0991,             0.00069331,             0.00069331,             0.00069331
                    120,                 4.8354,                 1.1323,                 1.0914,                0.64196,                0.28295,                0.34504,                0.17087,                 4.8085,                  1.064,                  1.095,             0.00068505,             0.00068505,             0.00068505
                    121,                 4.8252,                 1.1401,                 1.0956,                0.64032,                0.27863,                0.33798,                0.16273,                 4.7726,                  1.092,                 1.1107,              0.0006768,              0.0006768,              0.0006768
                    122,                  4.812,                  1.134,                 1.0954,                0.62733,                0.28411,                0.34145,                0.16612,                 4.7976,                 1.0773,                 1.1169,             0.00066855,             0.00066855,             0.00066855
                    123,                 4.8309,                 1.1094,                 1.0847,                0.63337,                0.27577,                0.33592,                0.15875,                 4.7591,                 1.0947,                 1.1237,              0.0006603,              0.0006603,              0.0006603
                    124,                 4.8095,                 1.1226,                 1.0945,                0.62811,                0.28226,                0.34247,                0.16473,                 4.7522,                 1.0758,                  1.107,             0.00065205,             0.00065205,             0.00065205
                    125,                 4.8042,                 1.1352,                 1.0912,                0.60714,                0.28501,                0.33933,                0.16541,                 4.7726,                 1.0759,                 1.1054,              0.0006438,              0.0006438,              0.0006438
                    126,                 4.8042,                 1.1328,                 1.0884,                0.61388,                0.29611,                0.35255,                0.17858,                 4.8335,                 1.0498,                   1.08,             0.00063554,             0.00063554,             0.00063554
                    127,                  4.816,                 1.1081,                 1.0843,                0.62641,                0.29513,                 0.3536,                0.17762,                 4.8094,                 1.0494,                 1.0889,             0.00062729,             0.00062729,             0.00062729
                    128,                  4.801,                  1.118,                  1.083,                0.62351,                0.29277,                0.34834,                 0.1736,                    4.8,                  1.056,                 1.0878,             0.00061904,             0.00061904,             0.00061904
                    129,                 4.8032,                 1.1031,                 1.0762,                0.61344,                0.29414,                0.34729,                0.16988,                 4.7753,                 1.0647,                 1.0931,             0.00061079,             0.00061079,             0.00061079
                    130,                 4.7956,                 1.1232,                 1.0801,                0.62495,                0.29116,                0.34808,                0.17158,                 4.7442,                 1.0632,                 1.0914,             0.00060254,             0.00060254,             0.00060254
                    131,                 4.7926,                 1.1061,                  1.082,                0.63671,                0.30023,                 0.3581,                0.18131,                 4.8068,                 1.0401,                 1.0859,             0.00059429,             0.00059429,             0.00059429
                    132,                 4.7987,                 1.0986,                 1.0762,                0.64415,                0.29184,                0.35477,                0.17718,                  4.782,                 1.0475,                 1.0861,             0.00058603,             0.00058603,             0.00058603
                    133,                 4.7851,                 1.0963,                 1.0773,                0.64727,                0.29097,                0.35288,                0.17507,                 4.7604,                 1.0454,                 1.0882,             0.00057778,             0.00057778,             0.00057778
                    134,                 4.7816,                 1.1033,                 1.0766,                 0.6202,                0.29551,                0.35091,                0.17455,                 4.7511,                 1.0449,                 1.0903,             0.00056953,             0.00056953,             0.00056953
                    135,                 4.7947,                 1.0764,                 1.0663,                0.61875,                0.30134,                0.35435,                0.17666,                 4.7739,                 1.0364,                  1.082,             0.00056128,             0.00056128,             0.00056128
                    136,                  4.775,                 1.0977,                 1.0749,                 0.6249,                0.29877,                0.35297,                0.17349,                 4.7229,                 1.0565,                 1.0912,             0.00055303,             0.00055303,             0.00055303
                    137,                 4.7781,                 1.0813,                 1.0708,                0.63233,                0.30948,                0.36441,                0.18931,                 4.8164,                 1.0156,                 1.0638,             0.00054478,             0.00054478,             0.00054478
                    138,                 4.7716,                 1.0908,                 1.0704,                0.63581,                0.30673,                0.36512,                0.18396,                 4.7601,                 1.0326,                 1.0796,             0.00053652,             0.00053652,             0.00053652
